text_length,numeric_values,possible_dates,filename,true_label,predicted_label,correct_prediction
1096,"['918020087855304', '0.00', '71501', '51', '20042019', '763291', '22062010', '1182.91', '9', '20', '292019', '799073', '7042019', '291042010', '11596801']","['01/04/2019', '30/04/2019', 'A/C:', '8-60', '—-NOUNATION', 'INEFTMa/AXMBTaTI907@OReTIGumest', 'SINGH/OTSOIOO']",1.jpg,Bank Statement,ITR_Form 16,False
835,"['231', '90403', '1', '1', '2450', '108', '51000000', '78524', '9400000', '340000', '17040000', '300000', '667', '40000', '677', '40000', '130000', '67520000', '60000', '675', '30000', '350000']","['111-234-567-890', 'MM/DD/YYYY', '-', '-Eectty']",10.jpg,Bank Statement,ITR_Form 16,False
2992,"['2022', '2', '5', '054368487', '0357306', '08052', '12013', '0205563', '2.66', '0682', '99182289', '1573', '18008376464', '23421', '8.54', '73.83', '30.21', '50.01', '7.87', '126.13', '53.37', '4.28', '55.00', '250.20', '40.00', '23.42', '156.00', '54.98', '45.55', '39.99', '14.97', '75.00', '88.25', '19.80', '65.85', '90.10', '17.12', '210.32', '24.99', '70.00', '68.46', '403.35', '69.55', '29.16', '29.99', '17.99']","['01/12', '01/12', '01/12', '02/12', '02/12', '03/12', '04/12', '04/12', '05/12', '05/12', '06/12', '06/12', '07/12', '08/12', '08/12', '09/12', '10/12', '11/12', '11/12', '13/12', '14/12', '15/12', '15/12', '16/12', '16/12', '17/12', '08/12', '19/12', '19/12', '20/12', '20/12', '21/12', '21/12', '21/12', '22/12', '22/12', 'WAL-MART', '800-567-0759', '855-226-8388', 'P1688-01FLOWOOD', 'P1688-01', 'MCW867-I-55']",11.jpg,Bank Statement,ITR_Form 16,False
201,"['200000', '70000', '770', '2000.00']","['ewor4os05/oPRHTEse', 's1y9P60036696/']",12.jpg,Bank Statement,ITR_Form 16,False
477,"['2018', '2018', '2018', '4', '27', '14.00', '14.00']","['SHSChargesQtrJANI8-HARI8+GS', '‘Int:01-05-2018/31-07-2018', 'Int31-10-2018/01-08-2018']",13.jpg,Bank Statement,ITR_Form 16,False
1544,"['55164', '03420', '73', '1026', '1', '535', '0195', '5634', '1999', '1999', '1', '7', '30', '1', '9', '990401', '1918301493', '54', '4.', '7', '2', '990401', '2', '6741149540', '30698864', '990402', '1918301493', '2', '990402', '2', '6741149540', '30698864', '30400102990810998', '3', '885.57', '720.38', '60', '83.60', '223.26']","['98012-1236', '244-7770', '1-800-673-3555.', 'PAR#19990913248398-N']",14.jpg,Bank Statement,ITR_Form 16,False
1201,"['1', '2', '3', '4', '5', '000000', '1', '2', '3', '01111113', '4304567890987', '2019', '0.00', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '500.00', '600.00', '0.00', '0.00', '419.08', '319.08', '219.08', '19.08', '422.74', '413.63', '1', '2']","['0000-30001-', 'E-mail:', '29-Dec-2018', '12-Jan-2019', '01-gan-2019', '01-Jan-2019', '01-Jan-2019', '01-gan-2019', '02-gan-2019', '02-gan-2019', '02-Jan-2019', '03-Jan-2019', '07-gan-2019', '07-Jan-2019', '10-Jan-2019', 'PRCR/easy,', 'D/4301201810853001', 'PRCR/easy', 'D/4301201810853001', 'PRCR/easy.', 'D/4301201810853001', 'PRCR/easy', 'D/4301201810853001', 'EFT/IC/BANK', 'ASIA/FRD', 'ACCOUN/ER', 'PRCR/easy', 'D/4301201810853001', 'PRCR/easy.', 'D/4301201810853001', 'CWDR/MOKKA-MODINA', 'G/4301201810853001', 'EFT/IC/BANK', 'ASIA/FRD', 'ACCOUN/ER', 'CWDR/MOKKA-MODINA', 'G/4301201810853001', 'CWDR/MOKKA-MODINA', 'G/4301201810853001']",15.jpg,Bank Statement,ITR_Form 16,False
1057,"['1', '2021', '30', '1', '065', '017025604', '122017', '31', '2020', '60205', '25', '30', '2022', '12893527', '81609362', '19502', '23215', '236', '24313', '28', '357', '13526', '100', '110208.26', '5900000', '110205.26']","['1800-209-4324', '990-88']",16.jpg,Bank Statement,ITR_Form 16,False
847,"['31', '31.', '2018', '1', '5.010', '00000', '2', '5.7006', '3', '4', '3051647557', '1408319.38', '252618392', '851', '10108', '7', '3758.36.08', '12437546153', '10', '106', '120881', '3095', '170154835', '70', '2', '9533']",['110490/E00008'],17.jpg,Bank Statement,ITR_Form 16,False
733,"['2015107', '1', '00', '51131', '1', '2', '2014', '3', '1', '1408830']",['1-98-2451'],18.jpg,Bank Statement,ITR_Form 16,False
764,"['913010056515105', '1698', '81896', '000', '21052017', '0360000', '50873700.', '300000000', '1025082017']","['01-05-2017', '31-05-2017', '11-00']",19.jpg,Bank Statement,ITR_Form 16,False
2409,"['4690173723', '470010', '1', '9003', '7600', '1262299940', '12000', '108', '6', '10698', '348', '2000', '20000', '1080', '731', '40900', '88', '22', '38', '1600.00', '3', '12000', '000', '1881', '81', '1000', '4703869', '204']","['30/09/2018', '08/12/2018', '07/01/2019', '07/04/2019', '/', '/', 'VB.0-', '1/04/2018']",20.jpg,Bank Statement,ITR_Form 16,False
488,"['96', '2518', '698', '067', '260']",['PRIME-2T7TaLUI'],21.jpg,Bank Statement,ITR_Form 16,False
1354,"['100', '09371', '2010', '2010', '2010', '7', '100', '20000', '12507', '25000']","['Ye00-', '72-0128', '1-800-123.0007']",22.jpg,Bank Statement,ITR_Form 16,False
1095,"['2000.', '201053', '90168238', '0015879054', '1', '12.08', '19', '18.36', '9', '49294338671', '72002', '19', '8320300761', '220']","['On-Line', 'On-line', '20-10-53', 'On-line', '20-105:', 'On-line', '20-10-53']",23.jpg,Bank Statement,ITR_Form 16,False
853,"['5', '2015', '2015', '345', '201301401', '001002', '234.50', '9.75', '75.00', '38.78', '60.00', '1.50', '12.99', '90.00', '124.86', '875.00', '2016', '264']",['—-'],24.jpg,Bank Statement,ITR_Form 16,False
575,"['697119', '6110', '60', '280717', '19.', '2017', '1231093', '13', '2017', '1231093', '2017', '39', '007457', '141', '8', '223714']","['Account/Card', '1/13', '736-157', '(15-May-2017', '27-Jul-2017)']",25.jpg,Bank Statement,ITR_Form 16,False
2729,"['516361', '12.00', '327', '100.00', '327', '5000.00', '327', '2500.00', '327', '327', '4000.00', '327', '1500.00', '327', '2700.00', '193', '327', '15.07.2011', '248', '18.07.2011', '327', '327', '18.07.2011', '762.00', '327', '19.07.2011', '400000', '327', '500.00', '327', '20.07.2011', '327', '7']","['7/325', '01-07-2011', '31-07-2011)', 'P&01-04-2011', '30-06-', 'jos-o7-2011', 'ICASH-ATWANDHRA', 'BANK-', 'los.07-2011', '230/HYDERABAD-VOSO711', 'lo7.07-2011,', '/ICONN/11592805/911010032065084/07071', 'lo7-07-2011,', 'los.07-2011', '-AXISH11189004593-BASI', 'los.07-2011', '.AXISI11189004653-BASI', 'ICASH-ATMSBI.', '11-07-2011', 'IKADUGODVBANGALORE/100711', 'ICASH-ATM/MAITRIVANAM', '12-07-2011', 'HYDERABAD/120711', 'ICASH-ATWORIENTAL', 'ICYDERABAD/120711', 'ICASH-ATMACICL', 'BANK/HYDERABAD/120711', '13-07-2011', '14-07-2011', '-AXISI!1195014478-SATYA', '-RXISI11195014478.SATYA', 'ICASH-ATMSBI', 'GOWLIGUDA.HYD/HYDERABAD/70711', 'ICASH-ATM-AXIS/KURNOOL', '18-07-2011', 'IBRANCH/KURNOOL/18071L', 'IPUR/TRINETHRA', 'IM/HYDERABAD/180711/19:35', '-AXISI11200007012-Y', 'ICASH.ATM/SBH', '19-07-2011', '[YEMMIGANU/YEMMIGANUR/I90711', 'ICASH-ATM/SBI_ANATHAPUR.', 'RAVANATHAPUR/200711', '-49.00|', '‘he/she', 'shown/displayed', '/or', 'witislose/ealate', 'co-operate', 'suspicious/spam']",26.jpg,Bank Statement,ITR_Form 16,False
2361,"['2021', '241', '1297680074', '8752.00', '248', '11081', '1000.00', '241', '241', '241', '7.00', '241', '10.10.2021', '5.00', '241', '241', '10.10.2021', '2340.00', '241', '241', '10.00', '241', '13.10.2021', '149.00', '241', '500.00', '241', '15.10.2021', '5.00', '241', '15.10.2021', '8.00', '241', '241', '19.10.2021', '241', '241', '241', '248', '241', '49.00', '241']","['JHARKHAND-INDIA', '-', 'A/C', '01-10-2021', '13-01-2022)', 'PA{01-07-2021', '30.09-', 'Jov-10-2021,', 'Jos-10-2021', 'IMANPO/KARUR', 'IUPLP2A/128081', '1/Bank', 'Acco/State', 'Jo7-10-2021,', 'IUPLP2A/128190304402/Bank', 'Acco/State', 'Jos-10-2021,', '[Ban/Payment', 'lUPLP2A/128137296085/Bank', 'Acco/State', 'Jos-10-2021', 'Baw/Payment', 'PUR/Deeami', '/MUMBAUOS1021/19:', 'PUR/Deeam', '11/Bangalore/081021/19:24', 'lUPLP2A/128354630747/SONU', '[Ban/Payment', 'lUPLP2A/1283167418137RATU', '10-10-2021', 'JUPLP2A7128383449334/Bank', 'Acca/Union', '[Ban/Payment', 'ATM-CASH.', '11-10-2021', '[AXIS/DPCN21', '1303/9886/111021/ALWAR', '[UPLP2M/128533578453/Dreamt', '1/YesBank_Y/P', '12-10-2021', '|UPLP2M/129638824593/RELIANCE', '/Citibank/SiO20BRO', 'luPyP2as128744826693/Bank', 'Acco/State', '14-10-2021', 'JUPLP2A/128879454450/Sulena', 'Ban/Payment', '|UPLP2M/128846684387/SPORTA', 'TE/Kotak', 'IMah/Payment', '[UPLP2M/129170926528/SPORTA', 'TE/Kotak', '18-10-2021', 'IMah/Payment', '[UPLP2M/129251770460/Deeami', 'W/YesBank_YIP', '24-10-2021', '24-10-2021', '18830845/A', 'Joz-11-2021', 'IMANPO/KARUR', 'ATM-CASH.', '[AXIS/DPCN21', '1303/3661/031121/ALWAR', 'Iypyp2a/130832230564/RAJU', 'Jos-11-2021', 'an/Paymene', '[UPL/P2A/1308763306747RAJU', 'Jos-11-2021,', '[Ban/Payment', '[UPLP2A/130853307101/RAJU', 'Jos-11-2001,', '[Ban/Payment', 'lUPLP2A/130816546042/Bank', 'Acco/State', 'jos-11-2021,', 'Ban/Ujiwei', '|UPLP2M/130852967280/Deeami', 'W/YesBank_YiP', 'fos-11-2021,']",27.jpg,Bank Statement,ITR_Form 16,False
1228,"['842002', '842002', '226.14', '380.00', '3500.00', '934616013196', '750.00', '290.00', '3000.00', '400', '508.19', '240.25', '2000.00', '931919032498', '211.57']","['MASJID.PO-RAMNA', '26/9/2019', '25/12/2019', '23/12/2019', '|UPY985112025907/P2v/sandeepchodnary@ybl/SANDEEP', '12/12/2019', '12/12/2019', '|IMPS-OUT/934616239787/SBINO010352/38160497052', '|¥PVS34664173747/P2V/singhsonal1@ybV/Mr', 'YPv324857102005/""2V/8960631005@ybU', '09/12/2019', '_|2518001500010946:Int.Pd:01-09-2019', '30-11-2019', '04/12/2019', 'UP/933884521318/P2M/IRCTCINAPP@ybI/IRCTC', 'YPvassessse04e0/""2V/7836767986@yb/Mr', '21/11/2019', '01-06-2018', '15/11/2019', '13/11/2019']",28.jpg,Bank Statement,ITR_Form 16,False
2163,"['2019', '2019', '182050', '000000794285656', '77001', '00118078', '201', '219', '26919', '1', '000000000', '17', '0000', '6817', '95758', '2166', '1', '1']","['1-800-935-9935', '1-800-242-7383', '1-877-312-4273', '1-713-262-1679', '10/05', '-550.00', '10/06', '-100.00', '“40/06', '51S37776YU9098031_—-1,088.20.————3', '“40/08', '10/08', '-1,000.00', '“40/09', '10/10', '-2,020.80', '10/17', '10/27', '-2,000.00', '10/30', '-2,517.09']",29.jpg,Bank Statement,ITR_Form 16,False
